Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
,2000,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022 (P),,,2023 (A),,
Comunidad Autónoma,Valor,Índice España = 100,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual,Valor,Índice España = 100,Tasa de Variación Interanual
ANDALUCÍA,11882,0.7441132264529058,12799,0.7443442861296888,0.07717555967008916,13617,0.7523620089507708,0.0639112430658646,14593,0.7671240077800557,0.07167511199236243,15561,0.7754522350127074,0.06633317343932021,16564,0.7792256668391588,0.06445601182443284,17589,0.7763849039947032,0.061881188118811936,18504,0.7768261964735517,0.052021149582125226,18638,0.7704199735449735,0.007241677475140484,17685,0.7642279936044251,-0.0511320957184247,17567,0.7593913456966239,-0.006672321176137919,17299,0.7565380914895478,-0.015255877497580728,16597,0.7489620938628159,-0.0405803803688074,16381,0.7439484081929243,-0.013014400192805975,16600,0.7418994413407821,0.01336914718271176,17458,0.7448905576652302,0.05168674698795184,17865,0.7385893831652058,0.023313094283422986,18691,0.7430036571792018,0.04623565631122317,19291,0.7433911368015415,0.03210101118185227,19744,0.7415586854460093,0.02348245295733764,17772,0.7451259905245063,-0.09987844408427882,19591,0.7507856212156051,0.10235201440468145,21495,0.7477041881174342,0.09718748404879785,23218,0.7497416688194265,0.08015817632007449
Almería,15192,0.9514028056112225,16053,0.9335853445769119,0.0566745655608214,16970,0.9376208630311067,0.057123279137855754,17668,0.9287704357882564,0.04113140836770768,18272,0.9105496586435441,0.03418609916232729,19070,0.8971162440607799,0.04367338003502619,19852,0.8762745530787905,0.04100681699003661,21034,0.88303946263644,0.059540600443280356,20995,0.8678488756613757,-0.001854140914709479,19151,0.8275787563199516,-0.08783043581805194,18616,0.8047378204296892,-0.027935878022035454,17294,0.7563194262223388,-0.07101418134937687,17031,0.7685469314079423,-0.015207586446166266,16759,0.7611154003360734,-0.015970876636721254,17515,0.7827932960893855,0.04511009010084144,18724,0.7989077100311474,0.0690265486725663,20196,0.8349594840416735,0.07861568041016875,21467,0.8533550643981556,0.06293325410972472,21567,0.8310982658959537,0.004658312759118655,22268,0.8363568075117371,0.03250336161728562,20335,0.8525847972831327,-0.08680617927070233,20292,0.7776500344906875,-0.002114580772067831,21999,0.7652358424933908,0.08412182140745128,,,
Cádiz,12147,0.7607089178356713,12979,0.7548124454783367,0.06849427842265587,13718,0.7579424277584397,0.05693813082672006,14409,0.7574515060715975,0.05037177431112405,15566,0.775701400308965,0.08029703657436316,16455,0.7740979442066143,0.05711165360400883,17473,0.7712646214963584,0.06186569431783662,18149,0.7619227539882452,0.03868826188977281,18128,0.7493386243386243,-0.001157088544823437,16899,0.730262304999784,-0.06779567519858787,17054,0.7372152336488998,0.009172140363335135,16881,0.738257675150879,-0.010144247683827823,16196,0.7308664259927797,-0.04057816480066345,15843,0.7195149643489713,-0.02179550506297856,15703,0.7018100558659218,-0.008836710219024213,16255,0.6935614626445364,0.03515251862701385,16784,0.6938978005622622,0.032543832666871664,17584,0.6989982509142948,0.04766444232602485,18079,0.6966859344894027,0.0281505914467699,18767,0.7048638497652582,0.038055202168261415,16418,0.6883568823110142,-0.12516651569243886,18313,0.7018088449451981,0.115422097697649,20304,0.7062752191456797,0.10872058100802717,,,
Córdoba,10749,0.6731588176352705,11378,0.6617039837161965,0.058517071355475014,12006,0.6633515663848831,0.05519423448760774,13095,0.6883772275666299,0.09070464767616193,14160,0.7056361190013455,0.08132875143184415,14955,0.7035329538504963,0.056144067796610075,16267,0.7180313396601192,0.08772985623537277,17401,0.7305205709487825,0.06971168623593771,17529,0.724578373015873,0.007355899086259443,16816,0.7266755974244847,-0.04067545210793544,16641,0.7193619504603813,-0.010406755470980023,16403,0.7173532756057028,-0.014302025118682726,15479,0.6985108303249098,-0.05633115893434126,15710,0.7134747263726782,0.014923444666968155,15846,0.7082011173184357,0.008656906429026057,16862,0.719460681827879,0.06411712735075104,17197,0.7109723829998347,0.019867156920887252,17967,0.7142232469391,0.044775251497354285,18275,0.7042389210019268,0.017142539099460175,18225,0.6845070422535211,-0.002735978112175075,16851,0.7065112573896273,-0.07539094650205758,18710,0.7170230704376485,0.11031986232271085,19930,0.6932656184778071,0.0652057723142705,,,
Granada,10604,0.6640781563126252,11482,0.667752253562082,0.08279894379479447,12505,0.6909221503950495,0.08909597631074728,13362,0.7024128686327078,0.0685325869652138,14112,0.7032441321572731,0.056129321957790745,14830,0.6976525379874865,0.050878684807256214,16403,0.7240344294857647,0.10606877950101157,17286,0.7256926952141058,0.0538316161677741,17521,0.7242476851851852,0.01359481661460138,16639,0.7190268354867984,-0.05033959248901321,16431,0.7102840098560498,-0.012500751247070174,16347,0.7149042246129624,-0.005112287748767597,15971,0.7207129963898917,-0.02300116229277538,15877,0.7210590853353922,-0.005885667772838277,16429,0.7342569832402235,0.03476727341437291,17320,0.7390024320518838,0.05423336782518717,17368,0.7180420042996527,0.0027713625866050418,17846,0.7094132612498012,0.027521879318286535,18353,0.7072447013487476,0.02840972767006611,19091,0.7170328638497653,0.04021140957881553,17310,0.7257557335122217,-0.09329003195222885,18776,0.7195523875220358,0.08469093009820905,20349,0.7078405454292472,0.08377716233489552,,,
Huelva,13036,0.8163827655310621,13366,0.7773189880779297,0.02531451365449522,14010,0.7740759157964529,0.04818195421218019,14964,0.7866267150291752,0.06809421841541763,16195,0.8070463945781632,0.08226410050788568,17248,0.8114033024415487,0.06502006792219817,17811,0.7861840653277422,0.03264146567718007,18331,0.7695633921074727,0.029195441019594703,18634,0.7702546296296297,0.016529376466095647,17028,0.735836826411996,-0.08618654073199528,17351,0.7500540353607401,0.01896875734085035,17882,0.7820344616461121,0.030603423433807952,17373,0.7839801444043322,-0.028464377586399747,16185,0.7350470048594395,-0.06838197202555685,16154,0.7219664804469274,-0.001915353722582669,17177,0.7329009685539958,0.06332796830506382,17877,0.7390854969406317,0.04075216859754316,19318,0.7679281284782954,0.08060636572131785,20380,0.7853564547206165,0.0549746350553888,20329,0.7635305164319249,-0.002502453385672232,17800,0.7462999454949478,-0.12440356141472775,20086,0.7697554993485093,0.1284269662921349,25475,0.8861486016418534,0.26829632579906404,,,
Jaén,10432,0.6533066132264529,11288,0.6564699040418727,0.0820552147239264,11767,0.6501464169291121,0.04243444365698079,13457,0.70740682331914,0.14362199371122641,13981,0.6967160013953256,0.0389388422382404,14307,0.6730488780166534,0.023317359273299587,15348,0.6774663429706467,0.07276158523799547,16530,0.6939546599496221,0.0770132916340891,16739,0.6919229497354498,0.012643678160919603,16347,0.7064085389568299,-0.023418364298942618,16388,0.7084251934465915,0.0025081054627760224,16349,0.714991690719846,-0.0023797900903099745,14677,0.6623194945848375,-0.10226925194201475,15780,0.7166537989917798,0.07515159773795732,15125,0.6759776536312849,-0.041508238276299125,17128,0.7308102572854888,0.13242975206611574,16916,0.6993550520919464,-0.01237739374124236,17382,0.690968357449515,0.02754788366043992,18320,0.7059730250481696,0.05396387067080899,17840,0.6700469483568076,-0.026200873362445365,17140,0.7186281497631126,-0.039237668161434924,18955,0.7264122020387829,0.10589264877479576,18860,0.6560456379574231,-0.0050118702189395625,,,
Málaga,11778,0.7376002004008017,13067,0.759930212271009,0.10944133129563594,13587,0.750704458809879,0.03979490319124501,14470,0.7606581506597277,0.06498859203650542,15649,0.77983754422684,0.08147892190739459,17026,0.8009596838688432,0.08799284299316246,17805,0.785919223129552,0.04575355338893461,18316,0.7689336691855584,0.028699803426003978,18480,0.7638888888888888,0.00895392006988427,17762,0.7675554211140401,-0.038852813852813806,17608,0.7611637055288981,-0.008670194797883113,17160,0.7504591970611388,-0.025442980463425746,16257,0.7336191335740072,-0.05262237762237765,16016,0.7273718152504655,-0.014824383342560088,16398,0.7328715083798882,0.023851148851148807,17077,0.728634210863165,0.041407488718136376,17379,0.7184967752604597,0.017684605024301803,18189,0.7230481793607887,0.04660797514241333,18922,0.7291714836223506,0.04029908186266429,19477,0.7315305164319249,0.0293309375330304,16913,0.7091107291098906,-0.13164245006931252,19145,0.7336935694029278,0.13196949092414112,21444,0.7459301516627244,0.1200835727343954,,,
